Area,Item,Element,Year,Unit,Value
Togo,Onions,Import Quantity,1970,tonnes,704.0
Uruguay,"Dregs from brewing, distillation",Import Quantity,1974,tonnes,0.0
Estonia,Milk Equivalent,Import Quantity,2012,tonnes,71799.0
Kuwait,"Oil, vegetable origin nes",Export Value,1961,1000 US$,0.0
Zimbabwe,"Whey, dry",Import Value,1989,1000 US$,0.0
Finland,"Oil, vegetable origin nes",Export Quantity,1980,tonnes,2.0
Papua New Guinea,"Offals, sheep,edible",Import Quantity,1970,tonnes,
Bosnia and Herzegovina,Rye,Export Value,2011,1000 US$,0.0
Aruba,Milk Dry,Import Quantity,1994,tonnes,1400.0
Kenya,"Offals, edible, cattle",Export Value,1986,1000 US$,6.0
Hungary,"Oil, olive residues",Export Quantity,1975,tonnes,
Polynesia,Silk,Import Value,1973,1000 US$,0.0
Iran (Islamic Republic of),"Oil, palm kernel",Export Value,1965,1000 US$,0.0
Madagascar,Tea,Import Quantity,1967,tonnes,37.0
Spain,"Beans, dry",Export Value,2000,1000 US$,4513.0
Senegal,"Milk, whole fresh cow",Export Value,1997,1000 US$,0.0
Malaysia,"Tomatoes, paste",Export Quantity,2004,tonnes,140.0
Norway,"Oil, palm",Export Quantity,1961,tonnes,0.0
Czechia,"Sugar, nes",Import Value,1993,1000 US$,230.0
Jordan,"Flour, wheat",Import Value,1961,1000 US$,7640.0
Nepal,Cereals,Import Quantity,1980,tonnes,56415.0
Libya,Rice - total  (Rice milled equivalent),Export Value,2009,1000 US$,
Ghana,Mixes and doughs,Export Quantity,2003,tonnes,75.0
Benin,"Cotton, carded, combed",Export Quantity,1996,tonnes,
Polynesia,"Coffee, green",Export Quantity,1973,tonnes,2.0
Lesotho,Meat Sheep Fresh,Import Value,1990,1000 US$,0.0
Poland,Spinach,Import Quantity,1997,tonnes,
United Republic of Tanzania,Dairy Products+Eggs,Import Value,1968,1000 US$,4549.0
Ghana,"Potatoes, frozen",Import Value,1990,1000 US$,
Guinea-Bissau,"Onions, dry",Import Value,1965,1000 US$,50.0
Cook Islands,Hops,Import Quantity,2003,tonnes,0.0
Burundi,Soybeans,Import Quantity,1963,tonnes,
Turkey,Infant food,Import Value,1972,1000 US$,0.0
France,"Apricots, dry",Export Value,1970,1000 US$,9.0
Ireland,Rape+Mustard Oils,Export Value,1980,1000 US$,6.0
Melanesia,Beer,Export Quantity,2008,tonnes,156.0
France,Eggs in The Shell,Import Quantity,2000,tonnes,61896.0
Cameroon,"Flour, maize",Export Value,1996,1000 US$,2.0
Seychelles,"Wheat+Flour,Wheat Equivalent",Import Value,2009,1000 US$,2469.0
Bangladesh,"Offals, sheep,edible",Import Quantity,1969,tonnes,0.0
Grenada,Mustard seed,Import Quantity,1994,tonnes,
Mauritius,"Oil, linseed",Export Quantity,2012,tonnes,0.0
Occupied Palestinian Territory,"Tobacco, unmanufactured",Export Quantity,2009,tonnes,0.0
Saudi Arabia,Beet pulp,Import Value,2008,1000 US$,12497.0
Finland,"Chillies and peppers, green",Export Value,1998,1000 US$,158.0
Grenada,Fixed Vegetable Oils,Export Quantity,1984,tonnes,0.0
Canada,Sweet potatoes,Import Value,1963,1000 US$,534.0
Iceland,"Oil, soybean",Export Value,1975,1000 US$,
Ghana,Fatty acids,Export Value,1977,1000 US$,
Ghana,Textile Fibres,Export Quantity,1988,tonnes,
Uganda,"Oil, cottonseed",Import Value,2010,1000 US$,92.0
Haiti,"Sugar, nes",Import Value,1976,1000 US$,215.0
Kiribati,Pigmeat,Import Quantity,1969,tonnes,0.0
Egypt,Vermouths & similar,Import Value,1973,1000 US$,6.0
Saudi Arabia,Lard,Export Quantity,1998,tonnes,
Namibia,Pulses,Export Value,2002,1000 US$,183.0
Turkey,"Cherries, sour",Export Value,2003,1000 US$,753.0
Solomon Islands,Animal Oil+Fat+Grs,Import Value,2006,1000 US$,0.0
Uganda,"Oil, palm kernel",Export Value,1980,1000 US$,
Dominica,"Spices, nes",Export Quantity,1979,tonnes,0.0
Saudi Arabia,Jute,Export Value,1963,1000 US$,0.0
Ireland,Textile Fibres,Import Quantity,1964,tonnes,33020.0
Peru,Sweet potatoes,Export Quantity,2005,tonnes,20.0
Bolivia (Plurinational State of),Glucose and dextrose,Export Value,2007,1000 US$,
"China, Hong Kong SAR",Cottonseed,Import Value,1972,1000 US$,0.0
Democratic Republic of the Congo,"Cereals, breakfast",Import Value,1994,1000 US$,0.0
Sudan (former),"Meat, chicken, canned",Import Quantity,2004,tonnes,8.0
Mauritania,"Juice, pineapple, concentrated",Import Value,2002,1000 US$,
Botswana,Currants,Export Value,1974,1000 US$,
Sri Lanka,"Cereals, breakfast",Import Quantity,2001,tonnes,661.0
Papua New Guinea,Wine+Vermouth+Sim.,Import Quantity,1969,tonnes,602.0
Poland,"Oil, olive residues",Import Value,1971,1000 US$,
Mozambique,Almonds shelled,Import Value,1967,1000 US$,
Polynesia,Sunflower seed,Export Quantity,2001,tonnes,
Solomon Islands,Oranges+Tang+Clem,Import Quantity,1976,tonnes,
"China, Hong Kong SAR",Apricots,Export Value,1977,1000 US$,0.0
Uruguay,Oats rolled,Import Value,2005,1000 US$,45.0
Niger,Pastry,Import Value,1984,1000 US$,759.0
Thailand,Groundnuts Total Shelled,Export Quantity,1969,tonnes,4236.0
Nepal,"Feed and meal, gluten",Import Quantity,2007,tonnes,0.0
Vanuatu,"Juice, citrus, concentrated",Import Quantity,1974,tonnes,0.0
Qatar,"Oil, olive, virgin",Import Quantity,2007,tonnes,891.0
Czechoslovakia,"Tobacco, unmanufactured",Export Value,1969,1000 US$,2817.0
Czechoslovakia,Canned Meat nes,Import Value,1973,1000 US$,14628.0
Estonia,"Milk, skimmed cow",Import Value,1996,1000 US$,2212.0
Uzbekistan,Oilseeds,Import Quantity,1996,tonnes,15000.0
Occupied Palestinian Territory,"Oil, boiled etc",Export Value,1996,1000 US$,0.0
Austria,Fonio,Import Quantity,2005,tonnes,
Tonga,"Milk, whole evaporated",Import Quantity,1996,tonnes,425.0
Gabon,"Meat, goose and guinea fowl",Export Value,2005,1000 US$,0.0
Switzerland,Apricots,Import Quantity,2002,tonnes,9456.0
Spain,"Wool, degreased",Export Quantity,2000,tonnes,5391.0
Congo,Maté,Import Quantity,1972,tonnes,
Singapore,"Wheat+Flour,Wheat Equivalent",Import Value,1962,1000 US$,9756.0
Romania,Cotton linter,Import Value,2005,1000 US$,0.0
Canada,Ginger,Import Quantity,1999,tonnes,4605.0
Egypt,Meat Prepared Pres,Import Value,1973,1000 US$,1230.0
United States of America,Almonds shelled,Import Quantity,1964,tonnes,176.0
United Kingdom,Chestnut,Import Value,2011,1000 US$,6404.0
Papua New Guinea,"Roots and tubers, nes",Import Value,2010,1000 US$,
Finland,Cheese and Curd,Export Value,2004,1000 US$,170134.0
Republic of Korea,Bread,Export Value,1979,1000 US$,789.0
Lebanon,"Cake, groundnuts",Export Quantity,2001,tonnes,
Namibia,"Oil, groundnut",Import Quantity,2005,tonnes,25.0
Qatar,"Eggs, other bird, in shell",Import Quantity,1988,tonnes,
Georgia,Lemons and limes,Import Value,2001,1000 US$,140.0
Saudi Arabia,Bread,Export Quantity,1999,tonnes,200.0
Italy,"Cereal preparations, nes",Export Value,1963,1000 US$,33.0
Argentina,Oilseed Cake nes,Import Quantity,1974,tonnes,9037.0
Iraq,"Meat, nes",Export Quantity,2000,tonnes,0.0
Côte d'Ivoire,Strawberries,Import Quantity,1967,tonnes,
Luxembourg,"Forage and silage, grasses nes",Export Value,2006,1000 US$,0.0
Niue,"Juice, citrus, single strength",Export Quantity,2009,tonnes,0.0
Maldives,Beer,Import Value,1990,1000 US$,2150.0
Ireland,"Spices, nes",Import Value,1976,1000 US$,203.0
Ghana,Ice cream and edible ice,Export Quantity,1965,tonnes,
Mauritania,Flax fibre raw,Import Quantity,1996,tonnes,0.0
Senegal,Sugar confectionery,Export Value,1964,1000 US$,151.0
Libya,"Groundnuts, shelled",Export Quantity,1970,tonnes,0.0
Russian Federation,Figs,Import Quantity,1998,tonnes,1441.0
Tuvalu,"Butter, cow milk",Import Quantity,1998,tonnes,10.0
French Polynesia,Crude materials,Import Quantity,2005,tonnes,0.0
Guinea,"Bran, maize",Import Value,1991,1000 US$,
Senegal,"Walnuts, with shell",Export Quantity,1999,tonnes,
Ireland,Grapefruit (inc. pomelos),Export Quantity,1990,tonnes,258.0
Lebanon,"Rubber, natural",Export Quantity,1982,tonnes,
Slovenia,"Flour, mixed grain",Import Value,1999,1000 US$,
"China, Hong Kong SAR",Sugar beet,Export Quantity,2002,tonnes,15.0
Colombia,"Coffee, substitutes containing coffee",Import Value,2010,1000 US$,0.0
United Kingdom,Apricots,Import Value,2002,1000 US$,11019.0
Ukraine,Blueberries,Import Quantity,2003,tonnes,0.0
Sri Lanka,"Cashew nuts, with shell",Export Quantity,1972,tonnes,
Pakistan,"Apricots, dry",Export Quantity,1972,tonnes,0.0
Côte d'Ivoire,"Melons, other (inc.cantaloupes)",Export Quantity,1970,tonnes,
Belgium,"Oil, rapeseed",Import Quantity,2000,tonnes,103860.0
Zimbabwe,Linseed,Export Quantity,1987,tonnes,
Colombia,"Meat, pig sausages",Export Quantity,2004,tonnes,5.0
Croatia,Peanut butter,Export Value,2007,1000 US$,12.0
Guinea-Bissau,Coconuts,Import Value,1978,1000 US$,0.0
British Virgin Islands,Pastry,Import Value,1988,1000 US$,101.0
Aruba,Rubber natural dry,Import Quantity,1982,tonnes,
Switzerland,Cream fresh,Import Quantity,2003,tonnes,318.0
Romania,Sugar Raw Centrifugal,Import Value,1967,1000 US$,0.0
Brazil,Sorghum,Import Value,1985,1000 US$,0.0
China,Rape+Mustard Seed,Export Quantity,1984,tonnes,26800.0
Barbados,"Oil, sesame",Export Quantity,1964,tonnes,
United Kingdom,Plantains and others,Export Quantity,2005,tonnes,391.0
Croatia,Alfalfa meal and pellets,Export Quantity,2009,tonnes,0.0
Guinea,"Tobacco, unmanufactured",Import Quantity,1976,tonnes,200.0
Benin,"Oil, cottonseed",Export Value,1978,1000 US$,0.0
Swaziland,"Meat, beef, preparations",Export Quantity,2011,tonnes,0.0
Cyprus,Pepper (piper spp.),Import Value,1997,1000 US$,91.0
Botswana,"Meat, chicken, canned",Export Value,1976,1000 US$,0.0
Bhutan,Grapefruit (inc. pomelos),Import Quantity,1993,tonnes,
Côte d'Ivoire,"Nuts, prepared (exc. groundnuts)",Export Quantity,2001,tonnes,0.0
Afghanistan,"Oil, sunflower",Import Value,1971,1000 US$,
Honduras,"Milk, products of natural constituents nes",Export Value,1967,1000 US$,
Nicaragua,Sesame seed,Export Quantity,1979,tonnes,4858.0
Montenegro,Artichokes,Import Value,2007,1000 US$,
Cayman Islands,Pigmeat,Import Value,1970,1000 US$,0.0
Qatar,"Juice, orange, single strength",Import Value,2008,1000 US$,38.0
Namibia,"Melons, other (inc.cantaloupes)",Export Quantity,1970,tonnes,
Philippines,"Cake, linseed",Import Quantity,1985,tonnes,
Kiribati,"Cigars, cheroots",Import Value,1984,1000 US$,
Malta,"Oil, sunflower",Import Quantity,1995,tonnes,1996.0
Niger,"Beans, green",Export Quantity,1991,tonnes,
Belize,"Chillies and peppers, green",Import Value,2008,1000 US$,22.0
French Polynesia,Buckwheat,Import Quantity,1987,tonnes,
Madagascar,Straw husks,Import Value,2008,1000 US$,
El Salvador,"Eggs, liquid",Import Quantity,1964,tonnes,
Iran (Islamic Republic of),"Meat, chicken, canned",Import Value,1987,1000 US$,
Nepal,Poultry Meat,Export Value,2013,1000 US$,0.0
Algeria,Meat Sheep Fresh,Import Quantity,1982,tonnes,10056.0
Austria,"Feed and meal, gluten",Import Value,1964,1000 US$,146.0
Zambia,"Meat, sheep",Export Quantity,1977,tonnes,0.0
Poland,Pigmeat,Export Quantity,1980,tonnes,73139.0
Afghanistan,Cheese and Curd,Import Quantity,2011,tonnes,164.0
Cambodia,"Tangerines, mandarins, clementines, satsumas",Import Quantity,1984,tonnes,
American Samoa,Soya sauce,Import Value,2006,1000 US$,1.0
Hungary,"Fat, pigs",Export Value,1992,1000 US$,8140.0
Republic of Korea,Coffee Green+Roast,Import Quantity,1984,tonnes,16131.0
Sudan (former),Animal Oil+Fat+Grs,Export Quantity,1962,tonnes,
Tunisia,Tea,Export Value,1967,1000 US$,0.0
Iceland,"Brazil nuts, shelled",Import Value,1974,1000 US$,
Thailand,"Offals, pigs, edible",Export Value,1963,1000 US$,0.0
Cabo Verde,"Hazelnuts, shelled",Import Quantity,1966,tonnes,
Tunisia,"Meat, chicken",Export Value,1981,1000 US$,5.0
Polynesia,Plums and sloes,Import Quantity,2010,tonnes,46.0
Ghana,Cigarettes,Export Value,2001,1000 US$,15035.0
Austria,Macaroni,Import Quantity,1981,tonnes,4724.0
Oman,"Broad beans, horse beans, dry",Export Quantity,1970,tonnes,0.0
Colombia,"Apricots, dry",Import Value,1999,1000 US$,4.0
Viet Nam,Onions,Export Quantity,1987,tonnes,0.0
Micronesia,Vermouths & similar,Import Value,1962,1000 US$,
Vanuatu,Other Meat,Export Quantity,1970,tonnes,0.0
New Zealand,"Nuts, prepared (exc. groundnuts)",Export Quantity,1979,tonnes,0.0
Australia,Olives preserved,Export Quantity,1966,tonnes,0.0
Algeria,Rape+Mustard Seed,Import Quantity,1969,tonnes,61185.0
Ireland,Chick peas,Import Value,1982,1000 US$,0.0
Kenya,Vermouths & similar,Export Value,1984,1000 US$,0.0
El Salvador,Dates,Import Quantity,1971,tonnes,
Yemen,"Wheat+Flour,Wheat Equivalent",Import Value,1973,1000 US$,31425.0
United Kingdom,"Milk, skimmed dried",Import Quantity,2009,tonnes,44963.0
Costa Rica,Sugar confectionery,Import Quantity,2005,tonnes,10157.0
Ecuador,Macaroni,Export Quantity,1986,tonnes,
Uganda,Strawberries,Import Quantity,1964,tonnes,
Kuwait,Strawberries,Export Quantity,2000,tonnes,0.0
Yemen,"Cake, copra",Import Value,2005,1000 US$,
Venezuela (Bolivarian Republic of),"Maize, green",Export Value,1978,1000 US$,
Yemen,"Eggs, liquid",Export Quantity,1991,tonnes,
Cyprus,Glucose and dextrose,Import Value,1996,1000 US$,404.0
Ghana,Meat Prepared Pres,Export Quantity,1970,tonnes,
Barbados,"Feed, compound, nes",Import Quantity,1965,tonnes,0.0
Niger,Raisins,Import Quantity,2001,tonnes,0.0
Antigua and Barbuda,"Milk, whole dried",Export Value,1972,1000 US$,
Sudan (former),"Flour, pulses",Import Value,1977,1000 US$,0.0
Israel,"Milk, products of natural constituents nes",Import Value,1965,1000 US$,0.0
Pakistan,"Melons, other (inc.cantaloupes)",Export Value,2010,1000 US$,99.0
Fiji,Dates,Export Value,1989,1000 US$,3.0
Poland,"Coconuts, desiccated",Export Value,1988,1000 US$,
Zambia,"Cereal preparations, nes",Import Value,1979,1000 US$,0.0
Zimbabwe,Plums dried (prunes),Import Value,1963,1000 US$,
Lesotho,Coffee+Tea+Cocoa+Sp,Import Value,2001,1000 US$,2080.0
Trinidad and Tobago,"Apricots, dry",Import Value,1968,1000 US$,
Kuwait,Total Meat,Export Quantity,1977,tonnes,5231.0
Ghana,Rape+Mustard Seed,Import Value,1989,1000 US$,
Colombia,Almonds shelled,Export Quantity,1973,tonnes,
Côte d'Ivoire,Kola nuts,Export Value,2005,1000 US$,3500.0
Bangladesh,"Meat, chicken",Export Quantity,2000,tonnes,0.0
Egypt,Cherries,Export Value,2009,1000 US$,23.0
Guyana,"Fat, nes, prepared",Import Quantity,1980,tonnes,0.0
Ukraine,"Fat, pigs",Import Value,2007,1000 US$,28.0
Kenya,"Potatoes, frozen",Export Value,1966,1000 US$,
Chile,"Tomatoes, paste",Export Quantity,1983,tonnes,3071.0
Cabo Verde,"Meat, pig, preparations",Export Quantity,1967,tonnes,
Aruba,"Oil, vegetable origin nes",Import Value,2001,1000 US$,1887.0
Lao People's Democratic Republic,Vermouths & similar,Import Quantity,1996,tonnes,8.0
Iran (Islamic Republic of),"Chillies and peppers, dry",Export Quantity,2006,tonnes,77.0
Bulgaria,"Milk, products of natural constituents nes",Import Quantity,1995,tonnes,158.0
Indonesia,Kapokseed in shell,Import Quantity,2006,tonnes,0.0
Kiribati,Tomatoes,Import Value,1963,1000 US$,0.0
Turkey,Infant food,Export Quantity,2012,tonnes,1311.0
Cambodia,"Nuts, nes",Export Quantity,2004,tonnes,2.0
Benin,Flax fibre raw,Import Quantity,1967,tonnes,
Costa Rica,"Peas, green",Import Value,2001,1000 US$,11.0
Austria,Bambara beans,Export Quantity,2007,tonnes,
Australia,"Oil, castor beans",Import Quantity,2009,tonnes,1179.0
Seychelles,"Tangerines, mandarins, clementines, satsumas",Export Value,1994,1000 US$,
Saint Kitts and Nevis,Pigmeat,Import Quantity,1994,tonnes,134.0
Guinea-Bissau,"Coffee, green",Import Value,1998,1000 US$,0.0
Saudi Arabia,Hops,Import Value,1980,1000 US$,0.0
Philippines,Sweet potatoes,Export Quantity,1994,tonnes,0.0
Honduras,"Meat, chicken",Export Quantity,1964,tonnes,0.0
Afghanistan,Oth Citrus Frt,Import Quantity,1964,tonnes,17.0
Serbia and Montenegro,"Coffee, green",Import Quantity,2003,tonnes,2721.0
Norway,Papayas,Import Value,1982,1000 US$,0.0
Malta,Artichokes,Import Value,2000,1000 US$,1.0
United Kingdom,Cereals,Export Quantity,1991,tonnes,6144170.0
Honduras,Canned Meat nes,Import Quantity,2011,tonnes,10570.0
Kuwait,"Flour, mixed grain",Import Quantity,1986,tonnes,
Ireland,"Meat, sheep",Export Value,1965,1000 US$,11011.0
Republic of Korea,Chestnut,Export Quantity,1997,tonnes,13802.0
Switzerland,"Meat, rabbit",Export Value,1967,1000 US$,0.0
Barbados,Tomatoes,Export Quantity,1995,tonnes,7.0
Jordan,Oranges,Import Value,1990,1000 US$,5527.0
Italy,"Rubber, natural",Import Value,1968,1000 US$,7946.0
Serbia,"Nuts, prepared (exc. groundnuts)",Import Value,2007,1000 US$,1539.0
India,"Juice, grape",Import Value,1994,1000 US$,
Ecuador,Raisins,Export Value,1968,1000 US$,
Saint Kitts and Nevis,"Juice, fruit nes",Import Quantity,1981,tonnes,4.0
Zambia,Molasses,Export Quantity,2002,tonnes,8351.0
Qatar,"Cocoa, paste",Import Value,1989,1000 US$,
Honduras,"Tobacco, unmanufactured",Import Value,1998,1000 US$,37541.0
Madagascar,Sweet corn prep or preserved,Export Quantity,1969,tonnes,
Congo,"Onions, dry",Export Quantity,1969,tonnes,
Cyprus,Lettuce and chicory,Export Value,1994,1000 US$,18.0
Bosnia and Herzegovina,Pastry,Import Value,1992,1000 US$,1350.0
Cyprus,Infant food,Export Value,1981,1000 US$,0.0
Philippines,"Sugar, nes",Export Quantity,2000,tonnes,43.0
Bolivia (Plurinational State of),Cheese and Curd,Import Value,1975,1000 US$,35.0
Guatemala,"Juice, fruit nes",Export Value,1976,1000 US$,1856.0
Chile,"Oil, sunflower",Export Quantity,1990,tonnes,6.0
Bulgaria,"Meat, cattle",Export Quantity,1996,tonnes,616.0
Occupied Palestinian Territory,"Butter, cow milk",Import Quantity,2002,tonnes,600.0
Seychelles,Onions,Export Value,1987,1000 US$,
Peru,Textile Fibres,Export Value,1969,1000 US$,73061.0
Mexico,Soybeans,Import Quantity,1962,tonnes,2370.0
Cambodia,Vermouths & similar,Export Quantity,2009,tonnes,
Benin,"Flour, cereals",Import Value,1973,1000 US$,0.0
Spain,Oranges,Import Value,1996,1000 US$,27836.0
Cuba,Bovine Meat,Import Value,1995,1000 US$,800.0
Singapore,"Juice, plum, concentrated",Import Value,1999,1000 US$,0.0
Panama,Bovine Meat,Import Value,1975,1000 US$,1047.0
Panama,Other Meat,Export Value,2010,1000 US$,0.0
Indonesia,"Oil, cottonseed",Export Value,2004,1000 US$,2.0
Singapore,Cream fresh,Export Quantity,1973,tonnes,0.0
Paraguay,Oilseeds nes,Export Quantity,1998,tonnes,0.0
Portugal,Cigarettes,Export Value,1983,1000 US$,1293.0
Saudi Arabia,"Hides, cattle, wet salted",Export Quantity,2001,tonnes,0.0
Paraguay,"Cake, soybeans",Import Quantity,2011,tonnes,100.0
Bolivia (Plurinational State of),Buckwheat,Import Value,2009,1000 US$,0.0
Togo,Almonds shelled,Import Value,2013,1000 US$,2.0
Cabo Verde,Lentils,Export Quantity,2010,tonnes,0.0
Netherlands,"Leeks, other alliaceous vegetables",Export Value,1967,1000 US$,0.0
Nigeria,"Chillies and peppers, green",Import Quantity,1976,tonnes,
Kenya,"Cashew nuts, with shell",Export Quantity,1998,tonnes,167.0
Barbados,"Meat, sheep",Import Value,1978,1000 US$,809.0
Canada,"Cigars, cheroots",Import Value,2012,1000 US$,36495.0
Mozambique,"Meat, pig sausages",Export Value,1994,1000 US$,0.0
Albania,"Offals, pigs, edible",Export Quantity,2003,tonnes,
Trinidad and Tobago,Peanut butter,Export Value,2004,1000 US$,40.0
Canada,"Bran, wheat",Import Quantity,1968,tonnes,0.0
Gambia,Oranges+Tang+Clem,Export Value,2006,1000 US$,0.0
Congo,Malt,Export Value,1991,1000 US$,0.0
French Polynesia,Ginger,Export Quantity,1968,tonnes,
Bahamas,Artichokes,Import Value,1973,1000 US$,
Mongolia,"Meat, chicken, canned",Import Quantity,2000,tonnes,32.0
Saint Lucia,Figs,Export Quantity,2000,tonnes,
Switzerland,Figs,Export Value,1997,1000 US$,26.0
Bulgaria,Sweet corn frozen,Import Quantity,2001,tonnes,794.0
Namibia,Poultry Meat,Export Value,1974,1000 US$,
British Virgin Islands,"Milk, whole evaporated",Import Quantity,1972,tonnes,0.0
Cabo Verde,Bananas,Export Quantity,1971,tonnes,3500.0
Bosnia and Herzegovina,"Nutmeg, mace and cardamoms",Import Value,2001,1000 US$,
Trinidad and Tobago,"Meat, beef and veal sausages",Export Value,1970,1000 US$,0.0
Guatemala,"Sugar,Total (Raw Equiv.)",Import Quantity,1984,tonnes,10.0
Haiti,"Meat, cattle",Import Quantity,2000,tonnes,1.0
Japan,"Bran, maize",Import Quantity,1968,tonnes,0.0
Togo,Butter,Import Value,1990,1000 US$,308.0
Bangladesh,Sugar refined,Import Quantity,1962,tonnes,5910.0
Armenia,"Walnuts, shelled",Import Quantity,2004,tonnes,195.0
Belarus,Cotton waste,Export Quantity,2003,tonnes,381.0
Tuvalu,Tobacco,Import Quantity,1985,tonnes,3.0
Aruba,"Meat, nes",Import Value,1976,1000 US$,0.0
Bosnia and Herzegovina,"Dregs from brewing, distillation",Export Quantity,1993,tonnes,
Argentina,"Juice, tomato",Import Quantity,2000,tonnes,20.0
Japan,Figs dried,Import Quantity,1992,tonnes,385.0
Guyana,Meat of Swine,Import Value,1966,1000 US$,1.0
Libya,"Chillies and peppers, dry",Export Quantity,2002,tonnes,394.0
Hungary,Flax fibre and tow,Import Value,1971,1000 US$,1373.0
Bahamas,"Coffee, extracts",Export Value,1988,1000 US$,
Iceland,Quinces,Import Value,1982,1000 US$,
Madagascar,"Whey, Pres+Concen",Import Value,1986,1000 US$,
Greece,Almonds shelled,Export Value,1995,1000 US$,8875.0
Zimbabwe,"Cheese, whole cow milk",Export Quantity,2002,tonnes,54.0
Israel,Plums and sloes,Export Value,1973,1000 US$,0.0
"China, Hong Kong SAR","Meat, turkey",Import Value,1995,1000 US$,27088.0
Cambodia,"Offals, edible, cattle",Import Value,1969,1000 US$,
Ghana,"Meat, pig",Import Value,2002,1000 US$,494.0
Burundi,Meat of Swine,Import Value,1967,1000 US$,
Uganda,Oilseed Cake nes,Import Quantity,1995,tonnes,0.0
Malawi,"Whey, Pres+Concen",Import Quantity,1987,tonnes,0.0
Qatar,Barley,Import Quantity,1988,tonnes,28961.0
Philippines,Fatty substance residues,Import Value,1976,1000 US$,0.0
Panama,"Walnuts, shelled",Import Value,1978,1000 US$,
Singapore,"Tangerines, mandarins, clementines, satsumas",Import Quantity,2009,tonnes,16828.0
Togo,"Wool, greasy",Import Value,2004,1000 US$,
Malawi,"Rubber, natural",Export Quantity,1996,tonnes,30.0
United Kingdom,Pulses,Export Quantity,1979,tonnes,147375.0
Syrian Arab Republic,Poultry Meat,Export Quantity,1977,tonnes,0.0
Estonia,Linseed,Import Value,1998,1000 US$,19.0
Senegal,Animal fats,Import Value,2010,1000 US$,6892.0
Belize,Maize,Import Value,1966,1000 US$,10.0
Suriname,"Juice, fruit nes",Export Quantity,1995,tonnes,
Sri Lanka,Avocados,Import Quantity,1963,tonnes,
Colombia,"Oil, olive residues",Export Quantity,1979,tonnes,0.0
Spain,"Oil, safflower",Export Quantity,1969,tonnes,0.0
Argentina,Olives preserved,Export Quantity,1996,tonnes,29893.0
Argentina,"Coconuts, desiccated",Import Quantity,2011,tonnes,2649.0
Colombia,Peaches and nectarines,Import Quantity,1996,tonnes,6840.0
France,"Feed, pulp of fruit",Export Quantity,1989,tonnes,1292.0
Grenada,Alfalfa meal and pellets,Import Value,1968,1000 US$,
Mongolia,Tobacco products nes,Import Value,1962,1000 US$,633.0
Bahrain,Potatoes,Import Value,1970,1000 US$,182.0
Bangladesh,"Oil, coconut (copra)",Export Quantity,1994,tonnes,0.0
Namibia,"Cotton, carded, combed",Export Value,1963,1000 US$,
Brunei Darussalam,Mixes and doughs,Import Quantity,1967,tonnes,
Algeria,"Hides, cattle, wet salted",Import Value,2001,1000 US$,1598.0
Norway,Bananas,Export Value,2000,1000 US$,0.0
Vanuatu,Wine,Import Value,1975,1000 US$,297.0
Iran (Islamic Republic of),Mixes and doughs,Export Quantity,1971,tonnes,
Guatemala,"Oil, groundnut",Export Value,1986,1000 US$,0.0
Saudi Arabia,"Cocoa, butter",Export Quantity,1966,tonnes,0.0
Mozambique,Cereals,Import Value,1984,1000 US$,76076.0
Netherlands Antilles (former),"Meat, chicken",Export Quantity,2002,tonnes,
Polynesia,"Spices, nes",Import Value,1966,1000 US$,17.0
Malawi,Fodder & Feeding stuff,Export Quantity,2005,tonnes,2864.0
Yemen,"Leeks, other alliaceous vegetables",Import Value,1994,1000 US$,
Colombia,Chocolate products nes,Import Quantity,1974,tonnes,45.0
Norway,"Cake, soybeans",Import Quantity,1969,tonnes,785.0
Malta,Oilseeds nes,Import Quantity,2003,tonnes,42.0
Bulgaria,Olives preserved,Import Value,1984,1000 US$,8000.0
Oman,"Oil, sesame",Import Quantity,1969,tonnes,0.0
Liberia,"Cocoa, powder & cake",Import Quantity,1987,tonnes,0.0
Switzerland,"Flour, maize",Import Value,1961,1000 US$,1.0
Belize,"Meat, cattle, boneless (beef & veal)",Export Value,1990,1000 US$,
Papua New Guinea,Meat of Swine,Import Value,1994,1000 US$,60.0
Canada,"Feed, compound, nes",Export Value,1995,1000 US$,76280.0
Namibia,"Walnuts, shelled",Import Quantity,2011,tonnes,0.0
Antigua and Barbuda,Sugar confectionery,Export Value,1990,1000 US$,
Austria,Beer,Export Value,1986,1000 US$,16141.0
Brunei Darussalam,Oranges+Tang+Clem,Export Quantity,1996,tonnes,0.0
Côte d'Ivoire,Coffee Green+Roast,Export Quantity,1970,tonnes,195347.0
Sweden,"Melons, other (inc.cantaloupes)",Import Value,2005,1000 US$,16472.0
Singapore,"Coffee, substitutes containing coffee",Export Value,1980,1000 US$,0.0
Zimbabwe,"Oil, maize",Export Quantity,2000,tonnes,2.0
Brunei Darussalam,"Chillies and peppers, dry",Export Quantity,1981,tonnes,3.0
Nigeria,Tobacco products nes,Import Value,2009,1000 US$,50.0
Singapore,Pineapples,Import Value,1993,1000 US$,2558.0
Polynesia,"Coffee, substitutes containing coffee",Export Value,1982,1000 US$,
Bulgaria,Pineapples canned,Import Quantity,1975,tonnes,0.0
Indonesia,Oranges+Tang+Clem,Import Quantity,1999,tonnes,34489.0
Croatia,"Juice, lemon, concentrated",Import Quantity,2004,tonnes,
Niger,Lettuce and chicory,Export Value,2013,1000 US$,0.0
